Year,Fossil.Fuels.Consumption,Units
1980,255.68361,Quadrillion Btu
1981,250.16777,Quadrillion Btu
1982,248.68434,Quadrillion Btu
1983,250.23921,Quadrillion Btu
1984,262.95844,Quadrillion Btu
1985,268.81593,Quadrillion Btu
1986,275.15796,Quadrillion Btu
1987,283.57448,Quadrillion Btu
1988,293.69145,Quadrillion Btu
1989,298.53089,Quadrillion Btu
1990,300.53412,Quadrillion Btu
1991,300.22874,Quadrillion Btu
1992,299.60638,Quadrillion Btu
1993,292.65743,Quadrillion Btu
1994,305.21961,Quadrillion Btu
1995,311.4598,Quadrillion Btu
1996,319.2225,Quadrillion Btu
1997,322.1469,Quadrillion Btu
1998,323.8853,Quadrillion Btu
1999,330.6709,Quadrillion Btu
2000,340.75341,Quadrillion Btu
2001,342.76248,Quadrillion Btu
2002,349.49315,Quadrillion Btu
2003,362.93775,Quadrillion Btu
2004,379.7608,Quadrillion Btu
2005,392.02323,Quadrillion Btu
2006,402.84198,Quadrillion Btu
2007,413.53741,Quadrillion Btu
2008,418.44871,Quadrillion Btu
2009,412.04593,Quadrillion Btu
2010,436.63016,Quadrillion Btu
2011,447.08429,Quadrillion Btu
2012,450.70341,Quadrillion Btu
